translation,native,lang,text,transcription
спасибо,ru,es,gracias,ˈɡɾaθjas
я не понимаю,ru,es,no entiendo,
,,,,
до свидания,ru,zh,再会,zàihuì
доброе утро,ru,zh,早上好,zǎoshàng hǎo
добрый вечер,ru,zh,晚上好,wǎnshàng hǎo
добрый день,ru,zh,午安,wǔ ān
дорого,ru,zh,昂贵,ángguì
здравствуйте,ru,zh,您好,nín hǎo
извините,ru,zh,不好意思,bùhǎoyìsī
пожалуйста,ru,zh,请,qǐng
простите,ru,zh,对不起,duìbùqǐ
размер,ru,zh,大小,dàxiǎo
сколько это стоит,ru,zh,要多少钱,yào duōshǎo qián
слишком большой,ru,zh,太大了,tài dà liǎo
слишком маленький,ru,zh,太小了,tài xiǎo liǎo
спасибо,ru,zh,谢谢,xièxiè
я не понимаю,ru,zh,我不明白,wǒ bù míngbái
,,,,
goodbye,en,ru,до свидания,do svidaniya
good morning,en,ru,доброе утро,dobroye utro
good evening,en,ru,добрый вечер,dobryy vecher
good afternoon,en,ru,добрый день,dobryy den'
expensive,en,ru,дорого,dorogo
hello,en,ru,здравствуйте,zdravstvuyte
excuse me,en,ru,извините,izvinite
please,en,ru,пожалуйста,pozhaluysta
I'm sorry,en,ru,простите,prostite
size,en,ru,размер,razmer
how much does it cost,en,ru,сколько это стоит,skol'ko eto stoit
too large,en,ru,слишком большой,slishkom bol'shoy
too small,en,ru,слишком маленький,slishkom malen'kiy
thank you,en,ru,спасибо,spasibo
I do not understand,en,ru,я не понимаю,ya ne ponimayu
,,,,
goodbye,en,de,auf wiedersehen,aʊ̯f ˈviːdɐˌzeːən
good morning,en,de,,
good evening,en,de,guten Abend,ˈɡuːtn̩ ˈaːbn̩t
good afternoon,en,de,guten Tag,ˈɡuːtn̩ taːk
expensive,en,de,teuer,ˈtɔɪ̯ɐ
hello,en,de,,
excuse me,en,de,entschuldigen,ɛntˈʃʊldɪɡn̩
please,en,de,bitte,ˈbɪtə
I'm sorry,en,de,entschuldigung,ɛntˈʃʊldɪɡʊŋ
size,en,de,Größe,ˈɡʁøːsə
how much does it cost,en,de,wie viel kostet es,
too large,en,de,zu groß,ʦuː ɡʁoːs
too small,en,de,zu kleine,ʦuː ˈklaɪ̯nə
thank you,en,de,danke,ˈdaŋkə
I do not understand,en,de,Ich verstehe nicht,ɪç fɛɐ̯ˈʃteːən nɪçt
,,,,
goodbye,en,fr,au revoir,"o ʁəvwaʁ, ɔʁvwaʁ"
good morning,en,fr,,
good evening,en,fr,,
good afternoon,en,fr,,
expensive,en,fr,coûteux,kutø
hello,en,fr,bonjour,bɔ̃ʒuʁ
excuse me,en,fr,excusez-moi,ɛkskyze mwa
please,en,fr,s'il vous plaît,
I'm sorry,en,fr,pardonnez-moi,paʁdɔne mwa
size,en,fr,taille,"taj, tɑj"
how much does it cost,en,fr,combien ça coûte,kɔ̃bjɛ̃ sa kute
too large,en,fr,trop grande,tʁo ɡʁɑ̃
too small,en,fr,trop petite,tʁo pəti
thank you,en,fr,merci,mɛʁsi
I do not understand,en,fr,je ne comprends pas,
,,,,
goodbye,en,it,arrivederci,arriveˈderʧi
good morning,en,it,buongiorno,bwɔnˈʤorno
good evening,en,it,buona sera,ˈbwɔno ˈsera
good afternoon,en,it,buon giorno,ˈbwɔn ˈʤorno
expensive,en,it,costoso,"kosˈtoso, kosˈtozo"
hello,en,it,salve,ˈsalve
excuse me,en,it,scusami,
please,en,it,prego,ˈprɛɡo
I'm sorry,en,it,mi dispiace,ˈmi dispjaˈʧere
size,en,it,dimensione,dimenˈsjone
how much does it cost,en,it,quanto costa,ˈkwanto ˈkɔsta
too large,en,it,troppo grande,ˈtroppo ˈɡrande
too small,en,it,troppo piccole,ˈtroppo ˈpikkolo
thank you,en,it,ringraziamento,rinɡrattsjaˈmento
I do not understand,en,it,non capisco,
,,,,
goodbye,en,es,hasta la vista,ˈasta la ˈbista
good morning,en,es,buenos días,ˈbweno ˈdias
good evening,en,es,buenas noches,ˈbwenas ˈnot͡ʃe
good afternoon,en,es,buenas tardes,ˈbwenas ˈtaɾdes
expensive,en,es,costoso,kosˈtoso
hello,en,es,salve,salˈβaɾ
excuse me,en,es,con permiso,kon peɾˈmiso
please,en,es,por favor,poɾ faˈβoɾ
I'm sorry,en,es,perdón,peɾˈdon
size,en,es,tamaño ,taˈmaɲo
how much does it cost,en,es,cuánto cuesta,ˈkwanto ˈkwesta
too large,en,es,demasiado grande,demaˈsjaðo ˈɡɾande
too small,en,es,demasiado pequeño,demaˈsjaðo peˈkeɲo
thank you,en,es,gracias,ˈɡɾaθjas
I do not understand,en,es,no entiendo,
,,,,
goodbye,en,zh,再会,zàihuì
good morning,en,zh,早上好,zǎoshàng hǎo
good evening,en,zh,晚上好,wǎnshàng hǎo
good afternoon,en,zh,午安,wǔ ān
expensive,en,zh,昂贵,ángguì
hello,en,zh,您好,nín hǎo
excuse me,en,zh,不好意思,bùhǎoyìsī
please,en,zh,请,qǐng
I'm sorry,en,zh,对不起,duìbùqǐ
size,en,zh,大小,dàxiǎo
how much does it cost,en,zh,要多少钱,yào duōshǎo qián
too large,en,zh,太大了,tài dà liǎo
too small,en,zh,太小了,tài xiǎo liǎo
thank you,en,zh,谢谢,xièxiè
I do not understand,en,zh,我不明白,wǒ bù míngbái
